================================================================================
Testing learning rate: 0.0001
================================================================================

Using device: cuda
Loading training data...
Loading test data...
Starting training with learning rate: 0.0001, optimizer: adam
Epoch [3/15], Step [50/114], Loss: 0.0886
Epoch [3/15], Step [60/114], Loss: 0.2346
Epoch [3/15], Step [70/114], Loss: 0.1066
Epoch [3/15], Step [80/114], Loss: 0.1578
Epoch [3/15], Step [90/114], Loss: 0.1902
Epoch [3/15], Step [100/114], Loss: 0.0989
Epoch [3/15], Step [110/114], Loss: 0.1107
Epoch [3/15], Loss: 0.1567, Train Acc: 96.21%, Test Acc: 93.92%
Epoch [4/15], Step [10/114], Loss: 0.1263
Epoch [4/15], Step [20/114], Loss: 0.1704
Epoch [4/15], Step [30/114], Loss: 0.1241
Epoch [4/15], Step [40/114], Loss: 0.1054
Epoch [4/15], Step [50/114], Loss: 0.1093
Epoch [4/15], Step [60/114], Loss: 0.0797
Epoch [4/15], Step [70/114], Loss: 0.0787
Epoch [4/15], Step [80/114], Loss: 0.0914
Epoch [4/15], Step [90/114], Loss: 0.0544
Epoch [4/15], Step [100/114], Loss: 0.0563
Epoch [4/15], Step [110/114], Loss: 0.0534
Epoch [4/15], Loss: 0.1132, Train Acc: 97.22%, Test Acc: 94.37%
Epoch [5/15], Step [10/114], Loss: 0.1211
Epoch [5/15], Step [20/114], Loss: 0.0859
Epoch [5/15], Step [30/114], Loss: 0.0940
Epoch [5/15], Step [40/114], Loss: 0.1199
Epoch [5/15], Step [50/114], Loss: 0.0490
Epoch [5/15], Step [60/114], Loss: 0.0946
Epoch [5/15], Step [70/114], Loss: 0.0694
Epoch [5/15], Step [80/114], Loss: 0.0519
Epoch [5/15], Step [90/114], Loss: 0.1004
Epoch [5/15], Step [100/114], Loss: 0.0647
Epoch [5/15], Step [110/114], Loss: 0.0495
Epoch [5/15], Loss: 0.0872, Train Acc: 97.93%, Test Acc: 94.42%
Epoch [6/15], Step [10/114], Loss: 0.1485
Epoch [6/15], Step [20/114], Loss: 0.0922
Epoch [6/15], Step [30/114], Loss: 0.1429
Epoch [6/15], Step [40/114], Loss: 0.0602
Epoch [6/15], Step [50/114], Loss: 0.1008
Epoch [6/15], Step [60/114], Loss: 0.1249
Epoch [6/15], Step [70/114], Loss: 0.0774
Epoch [6/15], Step [80/114], Loss: 0.0241
Epoch [6/15], Step [90/114], Loss: 0.0226
Epoch [6/15], Step [100/114], Loss: 0.0434
Epoch [6/15], Step [110/114], Loss: 0.0482
