================================================================================
Testing initialization: Too Small Init
================================================================================

Using device: cuda
Loading training data...
Loading test data...
Starting training with initialization: normal, gain: 0.01, learning rate: 0.001
Epoch [15/15], Step [90/114], Loss: 0.0101
Epoch [15/15], Step [100/114], Loss: 0.0117
Epoch [15/15], Step [110/114], Loss: 0.0083
Epoch [15/15], Loss: 0.0162, Train Acc: 99.81%, Test Acc: 96.16%
Training completed in 4.27 seconds
Training curves saved
Accuracy of digit 0: 98.61% (354/359)
Accuracy of digit 1: 98.11% (259/264)
Accuracy of digit 2: 94.44% (187/198)
Accuracy of digit 3: 92.17% (153/166)
Accuracy of digit 4: 95.00% (190/200)
Accuracy of digit 5: 95.62% (153/160)
Accuracy of digit 6: 97.65% (166/170)
Accuracy of digit 7: 95.24% (140/147)
Accuracy of digit 8: 93.37% (155/166)
Accuracy of digit 9: 97.74% (173/177)
Overall Test Accuracy: 96.16% (1930/2007)


================================================================================
Testing initialization: Too Large Init
================================================================================

Using device: cuda
Loading training data...
Loading test data...
Starting training with initialization: normal, gain: 10.0, learning rate: 0.001
Epoch [1/15], Step [10/114], Loss: 308.8998
Epoch [1/15], Step [20/114], Loss: 267.3366
Epoch [1/15], Step [30/114], Loss: 274.9290
Epoch [1/15], Step [40/114], Loss: 273.0106
Epoch [1/15], Step [50/114], Loss: 266.3014
Epoch [1/15], Step [60/114], Loss: 224.7543
Epoch [1/15], Step [70/114], Loss: 299.1938
Epoch [1/15], Step [80/114], Loss: 244.6550
Epoch [1/15], Step [90/114], Loss: 218.1045
Epoch [1/15], Step [100/114], Loss: 231.4920
Epoch [1/15], Step [110/114], Loss: 274.6490
Epoch [1/15], Loss: 265.7589, Train Acc: 7.34%, Test Acc: 8.07%
Epoch [2/15], Step [10/114], Loss: 190.9285
Epoch [2/15], Step [20/114], Loss: 227.1093
Epoch [2/15], Step [30/114], Loss: 193.2010
Epoch [2/15], Step [40/114], Loss: 194.9182
Epoch [2/15], Step [50/114], Loss: 221.5350
Epoch [2/15], Step [60/114], Loss: 175.3848
Epoch [2/15], Step [70/114], Loss: 213.3734
Epoch [2/15], Step [80/114], Loss: 192.3590
Epoch [2/15], Step [90/114], Loss: 175.7124
Epoch [2/15], Step [100/114], Loss: 163.4048
Epoch [2/15], Step [110/114], Loss: 152.3745
Epoch [2/15], Loss: 188.7027, Train Acc: 7.78%, Test Acc: 8.77%
Epoch [3/15], Step [10/114], Loss: 178.6919
Epoch [3/15], Step [20/114], Loss: 156.6788
Epoch [3/15], Step [30/114], Loss: 177.1912
Epoch [3/15], Step [40/114], Loss: 140.7532
Epoch [3/15], Step [50/114], Loss: 146.1217
Epoch [3/15], Step [60/114], Loss: 157.2074
Epoch [3/15], Step [70/114], Loss: 150.4270
Epoch [3/15], Step [80/114], Loss: 149.3671
Epoch [3/15], Step [90/114], Loss: 132.0942
Epoch [3/15], Step [100/114], Loss: 130.6467
Epoch [3/15], Step [110/114], Loss: 119.9022
Epoch [3/15], Loss: 145.5905, Train Acc: 10.07%, Test Acc: 11.26%
Epoch [4/15], Step [10/114], Loss: 134.1159
Epoch [4/15], Step [20/114], Loss: 132.0738
Epoch [4/15], Step [30/114], Loss: 122.8164
Epoch [4/15], Step [40/114], Loss: 129.6013
Epoch [4/15], Step [50/114], Loss: 125.4464
Epoch [4/15], Step [60/114], Loss: 101.6369
Epoch [4/15], Step [70/114], Loss: 131.3651
Epoch [4/15], Step [80/114], Loss: 119.3941
Epoch [4/15], Step [90/114], Loss: 119.1040
Epoch [4/15], Step [100/114], Loss: 135.7131
Epoch [4/15], Step [110/114], Loss: 124.1081
Epoch [4/15], Loss: 123.5290, Train Acc: 14.02%, Test Acc: 14.05%
Epoch [5/15], Step [10/114], Loss: 136.2399
Epoch [5/15], Step [20/114], Loss: 116.8557
Epoch [5/15], Step [30/114], Loss: 100.2935
Epoch [5/15], Step [40/114], Loss: 113.9310
Epoch [5/15], Step [50/114], Loss: 95.9669
Epoch [5/15], Step [60/114], Loss: 124.3017
Epoch [5/15], Step [70/114], Loss: 123.4903
Epoch [5/15], Step [80/114], Loss: 122.9686
Epoch [5/15], Step [90/114], Loss: 115.1245
Epoch [5/15], Step [100/114], Loss: 123.9829
Epoch [5/15], Step [110/114], Loss: 98.5829
Epoch [5/15], Loss: 113.2910, Train Acc: 17.16%, Test Acc: 15.99%
Epoch [6/15], Step [10/114], Loss: 94.4896
Epoch [6/15], Step [20/114], Loss: 93.8629
Epoch [6/15], Step [30/114], Loss: 96.9022
Epoch [6/15], Step [40/114], Loss: 108.7801
Epoch [6/15], Step [50/114], Loss: 119.1901
Epoch [6/15], Step [60/114], Loss: 100.7540
Epoch [6/15], Step [70/114], Loss: 102.8923
Epoch [6/15], Step [80/114], Loss: 96.7189
Epoch [6/15], Step [90/114], Loss: 89.2720
Epoch [6/15], Step [100/114], Loss: 108.1151
Epoch [6/15], Step [110/114], Loss: 91.5961
Epoch [6/15], Loss: 107.3729, Train Acc: 19.68%, Test Acc: 18.44%
Epoch [7/15], Step [10/114], Loss: 97.9325
Epoch [7/15], Step [20/114], Loss: 107.7364
Epoch [7/15], Step [30/114], Loss: 111.8712
Epoch [7/15], Step [40/114], Loss: 105.8763
Epoch [7/15], Step [50/114], Loss: 127.1105
Epoch [7/15], Step [60/114], Loss: 85.9085
Epoch [7/15], Step [70/114], Loss: 104.4549
Epoch [7/15], Step [80/114], Loss: 92.8782
Epoch [7/15], Step [90/114], Loss: 89.4985
Epoch [7/15], Step [100/114], Loss: 89.0598
Epoch [7/15], Step [110/114], Loss: 103.9486
Epoch [7/15], Loss: 100.9551, Train Acc: 21.70%, Test Acc: 20.03%
Epoch [8/15], Step [10/114], Loss: 82.6518
Epoch [8/15], Step [20/114], Loss: 72.1402
Epoch [8/15], Step [30/114], Loss: 85.8812
Epoch [8/15], Step [40/114], Loss: 106.7373
Epoch [8/15], Step [50/114], Loss: 65.3741
Epoch [8/15], Step [60/114], Loss: 92.3159
Epoch [8/15], Step [70/114], Loss: 103.8069
Epoch [8/15], Step [80/114], Loss: 90.3463
Epoch [8/15], Step [90/114], Loss: 104.4114
Epoch [8/15], Step [100/114], Loss: 83.4675
Epoch [8/15], Step [110/114], Loss: 99.1653
Epoch [8/15], Loss: 95.6406, Train Acc: 24.07%, Test Acc: 22.32%
Epoch [9/15], Step [10/114], Loss: 90.5235
Epoch [9/15], Step [20/114], Loss: 95.2982
Epoch [9/15], Step [30/114], Loss: 118.3652
Epoch [9/15], Step [40/114], Loss: 108.6330
Epoch [9/15], Step [50/114], Loss: 82.1389
Epoch [9/15], Step [60/114], Loss: 72.7389
Epoch [9/15], Step [70/114], Loss: 100.7881
Epoch [9/15], Step [80/114], Loss: 99.6334
Epoch [9/15], Step [90/114], Loss: 67.8113
Epoch [9/15], Step [100/114], Loss: 88.7210
Epoch [9/15], Step [110/114], Loss: 106.1864
Epoch [9/15], Loss: 91.0722, Train Acc: 25.83%, Test Acc: 23.97%
Epoch [10/15], Step [10/114], Loss: 103.0106
Epoch [10/15], Step [20/114], Loss: 85.9384
Epoch [10/15], Step [30/114], Loss: 91.5016
Epoch [10/15], Step [40/114], Loss: 77.0941
Epoch [10/15], Step [50/114], Loss: 81.3017
Epoch [10/15], Step [60/114], Loss: 87.0802
Epoch [10/15], Step [70/114], Loss: 119.7546
Epoch [10/15], Step [80/114], Loss: 83.9373
Epoch [10/15], Step [90/114], Loss: 82.4379
